Date: 2024-01-01, Action: Buy, Stock: AAPL, Amount: 63, Price: 158.3, Return: 0.0%
Date: 2024-01-30, Action: Sell, Stock: AAPL, Amount: 57, Price: 160.73, Return: -7.26%
Date: 2024-01-31, Action: Buy, Stock: AAPL, Amount: 54, Price: 169.17, Return: -7.26%
Date: 2024-02-01, Action: Sell, Stock: AAPL, Amount: 54, Price: 165.55, Return: -9.21%
Date: 2024-02-02, Action: Buy, Stock: AAPL, Amount: 51, Price: 174.65, Return: -9.21%
Date: 2024-02-03, Action: Sell, Stock: AAPL, Amount: 51, Price: 162.68, Return: -15.32%
Date: 2024-02-04, Action: Buy, Stock: AAPL, Amount: 48, Price: 174.64, Return: -15.32%
Date: 2024-02-05, Action: Sell, Stock: AAPL, Amount: 48, Price: 169.84, Return: -17.62%
Date: 2024-02-06, Action: Buy, Stock: AAPL, Amount: 48, Price: 170.18, Return: -17.62%
Date: 2024-02-07, Action: Sell, Stock: AAPL, Amount: 48, Price: 166.24, Return: -19.51%
Date: 2024-02-08, Action: Buy, Stock: AAPL, Amount: 49, Price: 163.65, Return: -19.51%
Date: 2024-02-09, Action: Sell, Stock: AAPL, Amount: 49, Price: 165.26, Return: -18.72%
Date: 2024-02-10, Action: Buy, Stock: AAPL, Amount: 50, Price: 161.9, Return: -18.72%
Date: 2024-02-11, Action: Sell, Stock: AAPL, Amount: 50, Price: 179.81, Return: -9.77%
Date: 2024-02-12, Action: Buy, Stock: AAPL, Amount: 54, Price: 166.29, Return: -9.77%
Date: 2024-02-13, Action: Sell, Stock: AAPL, Amount: 54, Price: 172.63, Return: -6.35%
Date: 2024-02-14, Action: Buy, Stock: AAPL, Amount: 52, Price: 179.04, Return: -6.35%
Date: 2024-02-15, Action: Sell, Stock: AAPL, Amount: 52, Price: 183.35, Return: -4.11%
Date: 2024-02-16, Action: Buy, Stock: AAPL, Amount: 55, Price: 173.85, Return: -4.11%
Date: 2024-02-17, Action: Sell, Stock: AAPL, Amount: 55, Price: 163.33, Return: -9.89%
Date: 2024-02-18, Action: Buy, Stock: AAPL, Amount: 52, Price: 171.8, Return: -9.89%
Date: 2024-02-19, Action: Sell, Stock: AAPL, Amount: 52, Price: 183.57, Return: -3.77%
Date: 2024-02-20, Action: Buy, Stock: AAPL, Amount: 53, Price: 180.86, Return: -3.77%
Date: 2024-02-21, Action: Sell, Stock: AAPL, Amount: 53, Price: 188.36, Return: 0.2%
Date: 2024-02-22, Action: Buy, Stock: AAPL, Amount: 53, Price: 188.99, Return: 0.2%
Date: 2024-02-23, Action: Sell, Stock: AAPL, Amount: 53, Price: 182.76, Return: -3.1%
Date: 2024-02-24, Action: Buy, Stock: AAPL, Amount: 55, Price: 174.35, Return: -3.1%
Date: 2024-02-25, Action: Sell, Stock: AAPL, Amount: 55, Price: 175.1, Return: -2.69%
Date: 2024-02-26, Action: Buy, Stock: AAPL, Amount: 53, Price: 181.06, Return: -2.69%
Date: 2024-02-27, Action: Sell, Stock: AAPL, Amount: 53, Price: 185.81, Return: -0.17%
Date: 2024-02-28, Action: Buy, Stock: AAPL, Amount: 54, Price: 184.08, Return: -0.17%
Date: 2024-02-29, Action: Sell, Stock: AAPL, Amount: 54, Price: 190.67, Return: 3.39%
Date: 2024-03-01, Action: Buy, Stock: AAPL, Amount: 52, Price: 197.04, Return: 3.39%
Date: 2024-03-02, Action: Sell, Stock: AAPL, Amount: 52, Price: 195.52, Return: 2.6%
Date: 2024-03-03, Action: Buy, Stock: AAPL, Amount: 54, Price: 186.69, Return: 2.6%
Date: 2024-03-04, Action: Sell, Stock: AAPL, Amount: 54, Price: 180.47, Return: -0.76%
Date: 2024-03-05, Action: Buy, Stock: AAPL, Amount: 57, Price: 171.58, Return: -0.76%
Date: 2024-03-06, Action: Sell, Stock: AAPL, Amount: 57, Price: 179.54, Return: 3.78%
Date: 2024-03-07, Action: Buy, Stock: AAPL, Amount: 55, Price: 188.44, Return: 3.78%
Date: 2024-03-08, Action: Sell, Stock: AAPL, Amount: 55, Price: 181.44, Return: -0.07%
Date: 2024-03-09, Action: Buy, Stock: AAPL, Amount: 51, Price: 192.38, Return: -0.07%
Date: 2024-03-10, Action: Sell, Stock: AAPL, Amount: 51, Price: 197.1, Return: 2.34%
Date: 2024-03-11, Action: Buy, Stock: AAPL, Amount: 54, Price: 186.69, Return: 2.34%
Date: 2024-03-12, Action: Sell, Stock: AAPL, Amount: 54, Price: 196.08, Return: 7.41%
Date: 2024-03-13, Action: Buy, Stock: AAPL, Amount: 53, Price: 199.58, Return: 7.41%
Date: 2024-03-14, Action: Sell, Stock: AAPL, Amount: 53, Price: 212.58, Return: 14.3%
Date: 2024-03-15, Action: Buy, Stock: AAPL, Amount: 53, Price: 212.56, Return: 14.3%
Date: 2024-03-16, Action: Sell, Stock: AAPL, Amount: 53, Price: 223.78, Return: 20.24%
Date: 2024-03-17, Action: Buy, Stock: AAPL, Amount: 52, Price: 231.05, Return: 20.24%
Date: 2024-03-18, Action: Sell, Stock: AAPL, Amount: 52, Price: 230.69, Return: 20.06%
Date: 2024-03-19, Action: Buy, Stock: AAPL, Amount: 50, Price: 239.8, Return: 20.06%
Date: 2024-03-20, Action: Sell, Stock: AAPL, Amount: 50, Price: 247.43, Return: 23.87%
Date: 2024-03-21, Action: Buy, Stock: AAPL, Amount: 52, Price: 235.55, Return: 23.87%
Date: 2024-03-22, Action: Sell, Stock: AAPL, Amount: 52, Price: 234.68, Return: 23.42%
Date: 2024-03-23, Action: Buy, Stock: AAPL, Amount: 52, Price: 235.33, Return: 23.42%
Date: 2024-03-24, Action: Sell, Stock: AAPL, Amount: 52, Price: 252.02, Return: 32.1%
Date: 2024-03-25, Action: Buy, Stock: AAPL, Amount: 53, Price: 248.43, Return: 32.1%
Date: 2024-03-26, Action: Sell, Stock: AAPL, Amount: 53, Price: 240.74, Return: 28.02%
Date: 2024-03-27, Action: Buy, Stock: AAPL, Amount: 55, Price: 231.41, Return: 28.02%
Date: 2024-03-28, Action: Sell, Stock: AAPL, Amount: 55, Price: 236.4, Return: 30.77%
Date: 2024-03-29, Action: Buy, Stock: AAPL, Amount: 55, Price: 233.56, Return: 30.77%
Date: 2024-03-30, Action: Sell, Stock: AAPL, Amount: 55, Price: 225.11, Return: 26.12%
Date: 2024-03-31, Action: Buy, Stock: AAPL, Amount: 57, Price: 220.35, Return: 26.12%
Date: 2024-04-01, Action: Sell, Stock: AAPL, Amount: 57, Price: 232.56, Return: 33.08%
Date: 2024-04-02, Action: Buy, Stock: AAPL, Amount: 58, Price: 227.31, Return: 33.08%
Date: 2024-04-03, Action: Sell, Stock: AAPL, Amount: 58, Price: 241.68, Return: 41.41%
Date: 2024-04-04, Action: Buy, Stock: AAPL, Amount: 57, Price: 244.27, Return: 41.41%
Date: 2024-04-05, Action: Sell, Stock: AAPL, Amount: 57, Price: 250.73, Return: 45.1%
Date: 2024-04-06, Action: Buy, Stock: AAPL, Amount: 58, Price: 247.73, Return: 45.1%
Date: 2024-04-07, Action: Sell, Stock: AAPL, Amount: 58, Price: 261.95, Return: 53.34%
Date: 2024-04-08, Action: Buy, Stock: AAPL, Amount: 55, Price: 274.51, Return: 53.34%
Date: 2024-04-09, Action: Hold, Stock: AAPL, Amount: 0, Price: 282.71, Return: 57.85%
Date: 2024-04-10, Action: Sell, Stock: AAPL, Amount: 55, Price: 279.28, Return: 55.97%
Date: 2024-04-11, Action: Buy, Stock: AAPL, Amount: 57, Price: 273.13, Return: 55.97%
Date: 2024-04-12, Action: Sell, Stock: AAPL, Amount: 57, Price: 261.34, Return: 49.25%
Date: 2024-04-13, Action: Buy, Stock: AAPL, Amount: 58, Price: 253.76, Return: 49.25%
Date: 2024-04-14, Action: Sell, Stock: AAPL, Amount: 58, Price: 266.03, Return: 56.36%
Date: 2024-04-15, Action: Buy, Stock: AAPL, Amount: 57, Price: 270.97, Return: 56.36%
Date: 2024-04-16, Action: Sell, Stock: AAPL, Amount: 57, Price: 266.09, Return: 53.58%
Date: 2024-04-17, Action: Buy, Stock: AAPL, Amount: 60, Price: 253.84, Return: 53.58%
Date: 2024-04-18, Action: Sell, Stock: AAPL, Amount: 60, Price: 260.92, Return: 57.83%
Date: 2024-04-19, Action: Buy, Stock: AAPL, Amount: 62, Price: 252.42, Return: 57.83%
Date: 2024-04-20, Action: Sell, Stock: AAPL, Amount: 62, Price: 247.27, Return: 54.64%
Date: 2024-04-21, Action: Buy, Stock: AAPL, Amount: 62, Price: 248.51, Return: 54.64%
Date: 2024-04-22, Action: Sell, Stock: AAPL, Amount: 62, Price: 251.12, Return: 56.25%
Date: 2024-04-23, Action: Buy, Stock: AAPL, Amount: 62, Price: 248.22, Return: 56.25%
Date: 2024-04-24, Action: Sell, Stock: AAPL, Amount: 62, Price: 234.07, Return: 47.48%
Date: 2024-04-25, Action: Buy, Stock: AAPL, Amount: 60, Price: 245.47, Return: 47.48%
Date: 2024-04-26, Action: Sell, Stock: AAPL, Amount: 60, Price: 249.14, Return: 49.68%
Date: 2024-04-27, Action: Buy, Stock: AAPL, Amount: 58, Price: 256.38, Return: 49.68%
Date: 2024-04-28, Action: Sell, Stock: AAPL, Amount: 58, Price: 264.2, Return: 54.22%
Date: 2024-04-29, Action: Buy, Stock: AAPL, Amount: 60, Price: 254.33, Return: 54.22%
Date: 2024-04-30, Action: Sell, Stock: AAPL, Amount: 60, Price: 249.68, Return: 51.43%
Date: 2024-05-01, Action: Buy, Stock: AAPL, Amount: 61, Price: 247.58, Return: 51.43%
Date: 2024-05-02, Action: Sell, Stock: AAPL, Amount: 61, Price: 251.72, Return: 53.95%
Date: 2024-05-03, Action: Buy, Stock: AAPL, Amount: 57, Price: 265.64, Return: 53.95%
Date: 2024-05-04, Action: Hold, Stock: AAPL, Amount: 0, Price: 268.08, Return: 55.35%
Date: 2024-05-05, Action: Sell, Stock: AAPL, Amount: 57, Price: 278.66, Return: 61.38%
Date: 2024-05-06, Action: Buy, Stock: AAPL, Amount: 58, Price: 274.72, Return: 61.38%
Date: 2024-05-07, Action: Sell, Stock: AAPL, Amount: 58, Price: 278.03, Return: 63.3%
Date: 2024-05-08, Action: Buy, Stock: AAPL, Amount: 58, Price: 280.84, Return: 63.3%
Date: 2024-05-09, Action: Sell, Stock: AAPL, Amount: 58, Price: 286.33, Return: 66.48%
Date: 2024-05-10, Action: Buy, Stock: AAPL, Amount: 58, Price: 286.89, Return: 66.48%
Date: 2024-05-11, Action: Sell, Stock: AAPL, Amount: 58, Price: 293.32, Return: 70.21%
Date: 2024-05-12, Action: Buy, Stock: AAPL, Amount: 58, Price: 292.43, Return: 70.21%
Date: 2024-05-13, Action: Sell, Stock: AAPL, Amount: 58, Price: 294.64, Return: 71.49%
Date: 2024-05-14, Action: Buy, Stock: AAPL, Amount: 59, Price: 288.46, Return: 71.49%
Date: 2024-05-15, Action: Sell, Stock: AAPL, Amount: 59, Price: 290.64, Return: 72.78%
Date: 2024-05-16, Action: Buy, Stock: AAPL, Amount: 60, Price: 283.27, Return: 72.78%
Date: 2024-05-17, Action: Sell, Stock: AAPL, Amount: 60, Price: 292.39, Return: 78.25%
Date: 2024-05-18, Action: Buy, Stock: AAPL, Amount: 62, Price: 284.9, Return: 78.25%
Date: 2024-05-19, Action: Sell, Stock: AAPL, Amount: 62, Price: 297.51, Return: 86.07%
Date: 2024-05-20, Action: Buy, Stock: AAPL, Amount: 61, Price: 304.78, Return: 86.07%
Date: 2024-05-21, Action: Sell, Stock: AAPL, Amount: 61, Price: 307.63, Return: 87.81%
Date: 2024-05-22, Action: Buy, Stock: AAPL, Amount: 57, Price: 325.03, Return: 87.81%
Date: 2024-05-23, Action: Sell, Stock: AAPL, Amount: 57, Price: 324.8, Return: 87.67%
Date: 2024-05-24, Action: Buy, Stock: AAPL, Amount: 58, Price: 321.16, Return: 87.67%
Date: 2024-05-25, Action: Sell, Stock: AAPL, Amount: 58, Price: 327.49, Return: 91.35%
Date: 2024-05-26, Action: Buy, Stock: AAPL, Amount: 55, Price: 344.13, Return: 91.35%
Date: 2024-05-27, Action: Sell, Stock: AAPL, Amount: 55, Price: 342.03, Return: 90.19%
Date: 2024-05-28, Action: Buy, Stock: AAPL, Amount: 55, Price: 343.6, Return: 90.19%
Date: 2024-05-29, Action: Sell, Stock: AAPL, Amount: 55, Price: 359.76, Return: 99.08%
Date: 2024-05-30, Action: Buy, Stock: AAPL, Amount: 55, Price: 359.07, Return: 99.08%
Date: 2024-05-31, Action: Sell, Stock: AAPL, Amount: 55, Price: 354.6, Return: 96.62%
Date: 2024-06-01, Action: Buy, Stock: AAPL, Amount: 55, Price: 357.49, Return: 96.62%
Date: 2024-06-02, Action: Sell, Stock: AAPL, Amount: 55, Price: 342.23, Return: 88.23%
Date: 2024-06-03, Action: Buy, Stock: AAPL, Amount: 52, Price: 358.85, Return: 88.23%
Date: 2024-06-04, Action: Sell, Stock: AAPL, Amount: 52, Price: 351.79, Return: 84.56%
Date: 2024-06-05, Action: Buy, Stock: AAPL, Amount: 54, Price: 340.87, Return: 84.56%
Date: 2024-06-06, Action: Sell, Stock: AAPL, Amount: 54, Price: 339.47, Return: 83.8%
Date: 2024-06-07, Action: Buy, Stock: AAPL, Amount: 52, Price: 349.12, Return: 83.8%
Date: 2024-06-08, Action: Sell, Stock: AAPL, Amount: 52, Price: 352.28, Return: 85.44%
Date: 2024-06-09, Action: Buy, Stock: AAPL, Amount: 52, Price: 354.87, Return: 85.44%
Date: 2024-06-10, Action: Sell, Stock: AAPL, Amount: 52, Price: 335.94, Return: 75.6%
Date: 2024-06-11, Action: Buy, Stock: AAPL, Amount: 52, Price: 336.77, Return: 75.6%
Date: 2024-06-12, Action: Sell, Stock: AAPL, Amount: 52, Price: 353.25, Return: 84.17%
Date: 2024-06-13, Action: Buy, Stock: AAPL, Amount: 52, Price: 350.27, Return: 84.17%
Date: 2024-06-14, Action: Sell, Stock: AAPL, Amount: 52, Price: 371.73, Return: 95.33%
Date: 2024-06-15, Action: Buy, Stock: AAPL, Amount: 52, Price: 370.31, Return: 95.33%
Date: 2024-06-16, Action: Sell, Stock: AAPL, Amount: 52, Price: 379.95, Return: 100.34%
Date: 2024-06-17, Action: Buy, Stock: AAPL, Amount: 51, Price: 389.55, Return: 100.34%
Date: 2024-06-18, Action: Sell, Stock: AAPL, Amount: 51, Price: 373.15, Return: 91.98%
Date: 2024-06-19, Action: Buy, Stock: AAPL, Amount: 51, Price: 373.93, Return: 91.98%
Date: 2024-06-20, Action: Sell, Stock: AAPL, Amount: 51, Price: 368.75, Return: 89.34%
Date: 2024-06-21, Action: Buy, Stock: AAPL, Amount: 52, Price: 360.48, Return: 89.34%
Date: 2024-06-22, Action: Hold, Stock: AAPL, Amount: 0, Price: 347.44, Return: 82.56%
Date: 2024-06-23, Action: Sell, Stock: AAPL, Amount: 52, Price: 349.84, Return: 83.8%
Date: 2024-06-24, Action: Buy, Stock: AAPL, Amount: 49, Price: 374.02, Return: 83.8%
Date: 2024-06-25, Action: Sell, Stock: AAPL, Amount: 49, Price: 370.14, Return: 81.9%
Date: 2024-06-26, Action: Buy, Stock: AAPL, Amount: 48, Price: 372.7, Return: 81.9%
Date: 2024-06-27, Action: Sell, Stock: AAPL, Amount: 48, Price: 355.69, Return: 73.74%
Date: 2024-06-28, Action: Buy, Stock: AAPL, Amount: 47, Price: 362.03, Return: 73.74%
Date: 2024-06-29, Action: Sell, Stock: AAPL, Amount: 47, Price: 386.79, Return: 85.37%
Date: 2024-06-30, Action: Buy, Stock: AAPL, Amount: 47, Price: 390.07, Return: 85.37%
Date: 2024-07-01, Action: Sell, Stock: AAPL, Amount: 47, Price: 410.25, Return: 94.86%
Date: 2024-07-02, Action: Buy, Stock: AAPL, Amount: 48, Price: 401.3, Return: 94.86%
Date: 2024-07-03, Action: Sell, Stock: AAPL, Amount: 48, Price: 383.63, Return: 86.38%
Date: 2024-07-04, Action: Buy, Stock: AAPL, Amount: 47, Price: 392.29, Return: 86.38%
Date: 2024-07-05, Action: Sell, Stock: AAPL, Amount: 47, Price: 381.41, Return: 81.26%
Date: 2024-07-06, Action: Buy, Stock: AAPL, Amount: 46, Price: 386.12, Return: 81.26%
Date: 2024-07-07, Action: Sell, Stock: AAPL, Amount: 46, Price: 378.58, Return: 77.8%
Date: 2024-07-08, Action: Buy, Stock: AAPL, Amount: 47, Price: 371.41, Return: 77.8%
Date: 2024-07-09, Action: Sell, Stock: AAPL, Amount: 47, Price: 366.13, Return: 75.31%
Date: 2024-07-10, Action: Buy, Stock: AAPL, Amount: 49, Price: 356.17, Return: 75.31%
Date: 2024-07-11, Action: Sell, Stock: AAPL, Amount: 49, Price: 379.96, Return: 86.97%
Date: 2024-07-12, Action: Buy, Stock: AAPL, Amount: 48, Price: 384.98, Return: 86.97%
Date: 2024-07-13, Action: Sell, Stock: AAPL, Amount: 48, Price: 387.36, Return: 88.11%
Date: 2024-07-14, Action: Buy, Stock: AAPL, Amount: 51, Price: 364.73, Return: 88.11%
Date: 2024-07-15, Action: Sell, Stock: AAPL, Amount: 51, Price: 373.79, Return: 92.73%
Date: 2024-07-16, Action: Buy, Stock: AAPL, Amount: 53, Price: 362.09, Return: 92.73%
Date: 2024-07-17, Action: Sell, Stock: AAPL, Amount: 53, Price: 370.81, Return: 97.36%
Date: 2024-07-18, Action: Buy, Stock: AAPL, Amount: 51, Price: 386.76, Return: 97.36%
Date: 2024-07-19, Action: Sell, Stock: AAPL, Amount: 51, Price: 391.23, Return: 99.64%
Date: 2024-07-20, Action: Buy, Stock: AAPL, Amount: 52, Price: 382.61, Return: 99.64%
Date: 2024-07-21, Action: Hold, Stock: AAPL, Amount: 0, Price: 401.64, Return: 109.53%
Date: 2024-07-22, Action: Sell, Stock: AAPL, Amount: 52, Price: 385.42, Return: 101.1%
Date: 2024-07-23, Action: Buy, Stock: AAPL, Amount: 52, Price: 384.54, Return: 101.1%
Date: 2024-07-24, Action: Sell, Stock: AAPL, Amount: 52, Price: 395.17, Return: 106.62%
Date: 2024-07-25, Action: Buy, Stock: AAPL, Amount: 53, Price: 386.94, Return: 106.62%
Date: 2024-07-26, Action: Hold, Stock: AAPL, Amount: 0, Price: 371.68, Return: 98.54%
Date: 2024-07-27, Action: Sell, Stock: AAPL, Amount: 53, Price: 357.23, Return: 90.88%
Date: 2024-07-28, Action: Buy, Stock: AAPL, Amount: 55, Price: 346.24, Return: 90.88%
Date: 2024-07-29, Action: Sell, Stock: AAPL, Amount: 55, Price: 345.7, Return: 90.58%
Date: 2024-07-30, Action: Buy, Stock: AAPL, Amount: 52, Price: 360.76, Return: 90.58%
Date: 2024-07-31, Action: Sell, Stock: AAPL, Amount: 52, Price: 372.69, Return: 96.78%
Date: 2024-08-01, Action: Buy, Stock: AAPL, Amount: 52, Price: 373.23, Return: 96.78%
Date: 2024-08-02, Action: Sell, Stock: AAPL, Amount: 52, Price: 355.77, Return: 87.71%
Date: 2024-08-03, Action: Buy, Stock: AAPL, Amount: 54, Price: 343.62, Return: 87.71%
Date: 2024-08-04, Action: Sell, Stock: AAPL, Amount: 54, Price: 348.22, Return: 90.19%
Date: 2024-08-05, Action: Buy, Stock: AAPL, Amount: 55, Price: 343.58, Return: 90.19%
Date: 2024-08-06, Action: Sell, Stock: AAPL, Amount: 55, Price: 329.36, Return: 82.37%
Date: 2024-08-07, Action: Buy, Stock: AAPL, Amount: 54, Price: 336.26, Return: 82.37%
Date: 2024-08-08, Action: Sell, Stock: AAPL, Amount: 54, Price: 353.91, Return: 91.9%
Date: 2024-08-09, Action: Buy, Stock: AAPL, Amount: 54, Price: 350.56, Return: 91.9%
Date: 2024-08-10, Action: Sell, Stock: AAPL, Amount: 54, Price: 345.24, Return: 89.03%
Date: 2024-08-11, Action: Buy, Stock: AAPL, Amount: 55, Price: 338.23, Return: 89.03%
Date: 2024-08-12, Action: Sell, Stock: AAPL, Amount: 55, Price: 354.1, Return: 97.75%
Date: 2024-08-13, Action: Buy, Stock: AAPL, Amount: 57, Price: 345.53, Return: 97.75%
Date: 2024-08-14, Action: Sell, Stock: AAPL, Amount: 57, Price: 336.94, Return: 92.86%
Date: 2024-08-15, Action: Buy, Stock: AAPL, Amount: 55, Price: 350.32, Return: 92.86%
Date: 2024-08-16, Action: Sell, Stock: AAPL, Amount: 55, Price: 356.5, Return: 96.26%
Date: 2024-08-17, Action: Buy, Stock: AAPL, Amount: 57, Price: 341.08, Return: 96.26%
Date: 2024-08-18, Action: Sell, Stock: AAPL, Amount: 57, Price: 337.39, Return: 94.15%
Date: 2024-08-19, Action: Buy, Stock: AAPL, Amount: 59, Price: 326.69, Return: 94.15%
Date: 2024-08-20, Action: Hold, Stock: AAPL, Amount: 0, Price: 338.06, Return: 100.86%
Date: 2024-08-21, Action: Sell, Stock: AAPL, Amount: 59, Price: 325.29, Return: 93.33%
Date: 2024-08-22, Action: Buy, Stock: AAPL, Amount: 60, Price: 322.16, Return: 93.33%
Date: 2024-08-23, Action: Sell, Stock: AAPL, Amount: 60, Price: 344.62, Return: 106.8%
Date: 2024-08-24, Action: Buy, Stock: AAPL, Amount: 61, Price: 337.58, Return: 106.8%
Date: 2024-08-25, Action: Sell, Stock: AAPL, Amount: 61, Price: 338.42, Return: 107.32%
Date: 2024-08-26, Action: Buy, Stock: AAPL, Amount: 58, Price: 353.51, Return: 107.32%
Date: 2024-08-27, Action: Sell, Stock: AAPL, Amount: 58, Price: 341.38, Return: 100.28%
Date: 2024-08-28, Action: Buy, Stock: AAPL, Amount: 57, Price: 346.34, Return: 100.28%
Date: 2024-08-29, Action: Sell, Stock: AAPL, Amount: 57, Price: 328.0, Return: 89.83%
Date: 2024-08-30, Action: Buy, Stock: AAPL, Amount: 59, Price: 321.56, Return: 89.83%
Date: 2024-08-31, Action: Sell, Stock: AAPL, Amount: 59, Price: 316.38, Return: 86.77%
Date: 2024-09-01, Action: Buy, Stock: AAPL, Amount: 58, Price: 320.49, Return: 86.77%
Date: 2024-09-02, Action: Sell, Stock: AAPL, Amount: 58, Price: 342.36, Return: 99.46%
Date: 2024-09-03, Action: Buy, Stock: AAPL, Amount: 56, Price: 353.25, Return: 99.46%
Date: 2024-09-04, Action: Sell, Stock: AAPL, Amount: 56, Price: 361.74, Return: 104.21%
Date: 2024-09-05, Action: Buy, Stock: AAPL, Amount: 56, Price: 358.88, Return: 104.21%
Date: 2024-09-06, Action: Sell, Stock: AAPL, Amount: 56, Price: 369.55, Return: 110.19%
Date: 2024-09-07, Action: Buy, Stock: AAPL, Amount: 59, Price: 350.57, Return: 110.19%
Date: 2024-09-08, Action: Sell, Stock: AAPL, Amount: 59, Price: 343.41, Return: 105.96%
Date: 2024-09-09, Action: Buy, Stock: AAPL, Amount: 58, Price: 352.84, Return: 105.96%
Date: 2024-09-10, Action: Sell, Stock: AAPL, Amount: 58, Price: 340.42, Return: 98.76%
Date: 2024-09-11, Action: Buy, Stock: AAPL, Amount: 56, Price: 353.13, Return: 98.76%
Date: 2024-09-12, Action: Sell, Stock: AAPL, Amount: 56, Price: 353.08, Return: 98.73%
Date: 2024-09-13, Action: Buy, Stock: AAPL, Amount: 54, Price: 363.62, Return: 98.73%
Date: 2024-09-14, Action: Sell, Stock: AAPL, Amount: 54, Price: 368.74, Return: 101.49%
Date: 2024-09-15, Action: Buy, Stock: AAPL, Amount: 52, Price: 384.41, Return: 101.49%
Date: 2024-09-16, Action: Hold, Stock: AAPL, Amount: 0, Price: 372.95, Return: 95.53%
Date: 2024-09-17, Action: Sell, Stock: AAPL, Amount: 52, Price: 372.19, Return: 95.14%
Date: 2024-09-18, Action: Buy, Stock: AAPL, Amount: 51, Price: 377.2, Return: 95.14%
Date: 2024-09-19, Action: Sell, Stock: AAPL, Amount: 51, Price: 356.17, Return: 84.41%
Date: 2024-09-20, Action: Buy, Stock: AAPL, Amount: 50, Price: 362.2, Return: 84.41%
Date: 2024-09-21, Action: Sell, Stock: AAPL, Amount: 50, Price: 362.5, Return: 84.56%
Date: 2024-09-22, Action: Buy, Stock: AAPL, Amount: 48, Price: 378.28, Return: 84.56%
Date: 2024-09-23, Action: Sell, Stock: AAPL, Amount: 48, Price: 360.18, Return: 75.88%
Date: 2024-09-24, Action: Buy, Stock: AAPL, Amount: 46, Price: 379.72, Return: 75.88%
Date: 2024-09-25, Action: Sell, Stock: AAPL, Amount: 46, Price: 373.68, Return: 73.1%
Date: 2024-09-26, Action: Buy, Stock: AAPL, Amount: 43, Price: 393.41, Return: 73.1%
Date: 2024-09-27, Action: Sell, Stock: AAPL, Amount: 43, Price: 396.84, Return: 74.57%
Date: 2024-09-28, Action: Buy, Stock: AAPL, Amount: 44, Price: 393.86, Return: 74.57%
Date: 2024-09-29, Action: Sell, Stock: AAPL, Amount: 44, Price: 390.6, Return: 73.14%
